Date,Name,Product,Category,Region,Quantity Sold,Revenue,Discount (%),Payment Method,Customer Feedback,Order Status
06-07-2025,George,Keyboard,Electronics,North,50,4692,23,Online,Good,Cancelled
01-08-2025,Edward,Speaker,Peripherals,South,47,3974,14,Online,Poor,Delivered
24-12-2025,Ian,Tablet,Accessories,South,15,2290,20,Cash,Average,Cancelled
17-05-2025,Edward,Mouse,Gadgets,South,22,204,17,Debit Card,Average,Returned
17-03-2025,Edward,Smartwatch,Electronics,North,4,4446,24,Credit Card,Average,Delivered
28-02-2025,Julia,Smartphone,Electronics,West,27,4943,14,Online,Good,Delivered
10-11-2025,Edward,Laptop,Accessories,West,26,4122,14,Debit Card,Poor,Returned
17-11-2025,Bob,Headphones,Accessories,West,41,3147,13,Cash,Good,Delivered
07-10-2025,Bob,Smartphone,Peripherals,North,24,4099,4,Debit Card,Average,Returned
12-03-2025,George,Smartphone,Gadgets,South,25,4333,19,Cash,Average,Returned
18-03-2025,Diana,Tablet,Accessories,East,28,2239,30,Cash,Excellent,Delivered
01-09-2025,Bob,Smartwatch,Gadgets,East,4,1217,15,Cash,Poor,Returned
11-10-2025,Ian,Headphones,Peripherals,West,24,1975,8,Cash,Poor,Returned
01-08-2025,Hannah,Smartwatch,Accessories,North,2,2937,23,Credit Card,Excellent,Pending
12-02-2025,Diana,Mouse,Electronics,West,23,764,29,Online,Average,Pending
08-05-2025,Charlie,Mouse,Gadgets,East,40,4697,12,Online,Poor,Pending
08-01-2025,Ian,Smartphone,Gadgets,East,2,411,14,Cash,Excellent,Pending
03-10-2025,Alice,Mouse,Gadgets,East,33,1411,19,Cash,Excellent,Returned
24-02-2025,Hannah,Laptop,Accessories,West,24,3653,6,Online,Good,Pending
27-08-2025,Hannah,Laptop,Peripherals,West,42,2646,29,Credit Card,Poor,Pending
25-02-2025,Bob,Mouse,Electronics,East,24,1584,0,Cash,Good,Pending
25-09-2025,Bob,Speaker,Accessories,East,45,1005,22,Cash,Good,Cancelled
05-03-2025,Diana,Speaker,Electronics,South,30,2570,28,Debit Card,Average,Delivered
16-11-2025,Alice,Smartphone,Gadgets,East,28,4895,14,Online,Average,Cancelled
06-09-2025,George,Monitor,Peripherals,East,22,1242,4,Online,Excellent,Pending
17-05-2025,Charlie,Laptop,Gadgets,North,32,4462,3,Cash,Average,Pending
14-10-2025,Bob,Smartphone,Gadgets,South,35,4282,29,Credit Card,Poor,Cancelled
18-04-2025,Bob,Speaker,Peripherals,South,37,2532,24,Cash,Good,Cancelled
23-12-2025,Diana,Speaker,Gadgets,North,14,695,23,Debit Card,Excellent,Cancelled
23-04-2025,George,Laptop,Peripherals,North,31,3275,28,Cash,Average,Pending
13-05-2025,Julia,Smartwatch,Electronics,South,37,2004,15,Credit Card,Average,Pending
21-11-2025,Fiona,Camera,Gadgets,West,45,2380,26,Online,Poor,Cancelled
15-06-2025,Hannah,Laptop,Accessories,South,16,2438,17,Cash,Good,Delivered
15-09-2025,Charlie,Mouse,Accessories,East,38,4123,5,Debit Card,Good,Returned
08-02-2025,Hannah,Camera,Peripherals,East,7,3936,2,Debit Card,Average,Pending
03-04-2025,Julia,Speaker,Electronics,West,39,4945,20,Credit Card,Good,Pending
01-06-2025,Alice,Tablet,Peripherals,South,20,1631,18,Debit Card,Average,Pending
18-10-2025,Ian,Smartphone,Gadgets,West,32,4072,22,Credit Card,Average,Delivered
19-04-2025,Diana,Headphones,Peripherals,East,18,3508,21,Debit Card,Good,Returned
01-04-2025,Diana,Monitor,Accessories,North,15,1728,30,Online,Excellent,Pending
23-02-2025,Fiona,Smartwatch,Electronics,East,30,1334,4,Debit Card,Good,Returned
02-11-2025,Alice,Laptop,Gadgets,East,10,146,15,Online,Average,Pending
03-04-2025,Julia,Laptop,Peripherals,East,37,2933,19,Credit Card,Excellent,Returned
28-01-2025,Alice,Tablet,Electronics,North,38,3120,25,Credit Card,Good,Delivered
03-06-2025,Charlie,Mouse,Peripherals,North,3,759,0,Credit Card,Good,Returned
08-09-2025,Fiona,Headphones,Accessories,East,46,3105,22,Cash,Excellent,Cancelled
22-05-2025,Edward,Laptop,Peripherals,West,13,3911,25,Cash,Average,Delivered
07-08-2025,Charlie,Headphones,Gadgets,East,21,145,1,Debit Card,Excellent,Pending
05-09-2025,Fiona,Mouse,Electronics,East,10,2156,12,Debit Card,Average,Delivered
19-12-2025,Hannah,Tablet,Gadgets,West,6,3008,23,Debit Card,Excellent,Pending
16-10-2025,Diana,Tablet,Gadgets,South,45,1646,16,Debit Card,Poor,Returned
26-04-2025,Alice,Camera,Accessories,South,50,1992,20,Debit Card,Good,Delivered
26-08-2025,George,Tablet,Accessories,East,50,190,8,Credit Card,Excellent,Delivered
07-07-2025,George,Keyboard,Peripherals,West,37,2471,30,Cash,Good,Returned
04-02-2025,Charlie,Mouse,Peripherals,North,47,1895,27,Debit Card,Good,Delivered
14-11-2025,Edward,Smartphone,Peripherals,West,25,2149,12,Credit Card,Excellent,Pending
14-06-2025,Ian,Smartphone,Peripherals,South,2,2331,9,Cash,Good,Delivered
15-07-2025,Bob,Smartphone,Peripherals,West,38,4648,5,Credit Card,Average,Returned
02-12-2025,Diana,Smartwatch,Peripherals,West,8,1014,17,Online,Poor,Cancelled
21-11-2025,Charlie,Monitor,Gadgets,West,2,3062,15,Debit Card,Excellent,Pending
04-11-2025,Diana,Headphones,Gadgets,West,9,4745,30,Cash,Poor,Returned
13-01-2025,Fiona,Headphones,Gadgets,East,30,4706,7,Debit Card,Good,Cancelled
11-12-2025,Hannah,Mouse,Gadgets,West,28,4290,9,Cash,Average,Cancelled
08-02-2025,Alice,Tablet,Gadgets,South,18,1271,11,Debit Card,Good,Delivered
07-04-2025,Hannah,Speaker,Peripherals,West,32,3287,21,Credit Card,Poor,Returned
15-09-2025,Bob,Laptop,Gadgets,North,5,4331,14,Online,Average,Pending
14-03-2025,Diana,Laptop,Electronics,East,49,3953,29,Credit Card,Average,Cancelled
09-03-2025,Julia,Speaker,Accessories,South,50,2497,12,Cash,Average,Cancelled
08-08-2025,Ian,Laptop,Gadgets,East,20,2484,6,Online,Average,Pending
15-02-2025,Edward,Keyboard,Electronics,South,12,1906,21,Online,Poor,Returned
04-09-2025,Ian,Smartphone,Electronics,East,17,2058,11,Credit Card,Excellent,Pending
21-01-2025,Charlie,Monitor,Accessories,North,44,4134,16,Credit Card,Excellent,Cancelled
27-09-2025,Charlie,Monitor,Accessories,North,42,1789,27,Debit Card,Poor,Delivered
03-01-2025,Ian,Laptop,Peripherals,West,15,1012,23,Cash,Good,Cancelled
06-04-2025,Fiona,Camera,Electronics,North,11,2255,14,Credit Card,Poor,Delivered
16-07-2025,Alice,Speaker,Gadgets,West,6,192,6,Cash,Average,Delivered
07-08-2025,Bob,Smartwatch,Peripherals,South,7,1269,3,Credit Card,Good,Cancelled
02-07-2025,Bob,Speaker,Accessories,West,5,272,2,Debit Card,Poor,Cancelled
13-03-2025,George,Headphones,Peripherals,East,41,1962,2,Debit Card,Average,Returned
13-01-2025,Ian,Speaker,Gadgets,West,38,264,27,Debit Card,Average,Cancelled
26-05-2025,Ian,Laptop,Electronics,West,4,514,6,Credit Card,Poor,Returned
10-08-2025,Alice,Monitor,Accessories,West,9,4564,11,Debit Card,Good,Returned
23-07-2025,Julia,Speaker,Gadgets,West,28,970,9,Debit Card,Poor,Delivered
26-12-2025,Charlie,Smartphone,Peripherals,West,42,160,23,Online,Average,Delivered
22-09-2025,Fiona,Speaker,Accessories,West,27,1919,19,Credit Card,Excellent,Pending
16-12-2025,Fiona,Smartwatch,Electronics,North,49,843,5,Cash,Average,Pending
07-03-2025,Alice,Tablet,Electronics,North,44,675,10,Online,Good,Cancelled
07-05-2025,Charlie,Keyboard,Accessories,North,9,1051,17,Debit Card,Poor,Returned
19-01-2025,Bob,Camera,Gadgets,South,16,2554,12,Credit Card,Average,Delivered
18-12-2025,Diana,Laptop,Gadgets,East,32,202,15,Online,Excellent,Delivered
24-01-2025,Alice,Laptop,Gadgets,South,29,4126,8,Debit Card,Excellent,Returned
02-06-2025,George,Mouse,Peripherals,West,13,2920,10,Credit Card,Excellent,Cancelled
19-01-2025,Alice,Camera,Accessories,East,41,3161,13,Credit Card,Excellent,Cancelled
17-08-2025,Julia,Tablet,Peripherals,South,36,4778,25,Cash,Excellent,Cancelled
06-09-2025,Alice,Monitor,Gadgets,East,7,3935,30,Online,Good,Cancelled
17-01-2025,George,Smartphone,Peripherals,South,15,4503,29,Online,Excellent,Returned
28-02-2025,Julia,Tablet,Electronics,North,16,3679,9,Online,Excellent,Pending
03-03-2025,Bob,Smartwatch,Electronics,West,1,1478,9,Debit Card,Good,Pending
03-10-2025,Diana,Speaker,Gadgets,West,40,688,7,Debit Card,Excellent,Cancelled
28-11-2025,Alice,Headphones,Peripherals,West,35,3510,3,Online,Excellent,Pending
13-04-2025,Julia,Monitor,Peripherals,North,16,1860,6,Cash,Poor,Cancelled
19-02-2025,Ian,Speaker,Accessories,East,7,2167,5,Debit Card,Poor,Pending
19-04-2025,Bob,Smartphone,Accessories,West,17,4244,29,Online,Good,Returned
02-10-2025,Alice,Tablet,Accessories,West,24,2603,17,Debit Card,Poor,Delivered
03-10-2025,Hannah,Headphones,Electronics,East,11,2458,3,Credit Card,Poor,Cancelled
22-07-2025,Julia,Tablet,Peripherals,North,16,2019,27,Credit Card,Excellent,Pending
19-10-2025,George,Tablet,Electronics,North,32,586,23,Online,Good,Returned
11-09-2025,Edward,Speaker,Peripherals,East,35,2832,11,Credit Card,Excellent,Delivered
07-05-2025,Julia,Headphones,Gadgets,West,50,1847,29,Credit Card,Average,Delivered
23-11-2025,George,Laptop,Gadgets,South,1,2567,12,Debit Card,Excellent,Cancelled
08-06-2025,Hannah,Mouse,Electronics,West,14,2236,2,Credit Card,Excellent,Returned
13-05-2025,Diana,Smartwatch,Gadgets,West,20,4022,6,Debit Card,Good,Pending
22-03-2025,Hannah,Smartwatch,Accessories,North,25,2857,13,Online,Good,Cancelled
10-11-2025,Julia,Headphones,Electronics,East,14,3004,16,Cash,Good,Delivered
11-08-2025,Edward,Speaker,Peripherals,East,13,272,5,Debit Card,Excellent,Returned
01-02-2025,Fiona,Smartwatch,Electronics,West,48,4317,7,Online,Good,Returned
20-08-2025,Hannah,Smartphone,Accessories,West,12,1310,28,Debit Card,Average,Delivered
04-10-2025,Hannah,Tablet,Accessories,West,33,1977,7,Cash,Good,Pending
18-02-2025,Charlie,Headphones,Peripherals,North,29,4643,21,Credit Card,Average,Returned
17-04-2025,Hannah,Speaker,Gadgets,East,17,1291,23,Cash,Average,Delivered
05-05-2025,Ian,Camera,Accessories,North,41,4427,4,Cash,Good,Pending
03-06-2025,Fiona,Smartwatch,Accessories,East,10,4468,19,Online,Excellent,Returned
12-04-2025,Diana,Smartwatch,Electronics,West,24,4673,22,Cash,Good,Cancelled
06-05-2025,Charlie,Headphones,Accessories,West,27,898,1,Cash,Excellent,Delivered
27-08-2025,Edward,Tablet,Peripherals,North,21,3328,22,Credit Card,Good,Returned
23-09-2025,Charlie,Monitor,Accessories,South,26,756,9,Cash,Average,Pending
20-05-2025,George,Smartphone,Peripherals,East,36,2008,13,Online,Good,Cancelled
17-11-2025,Edward,Monitor,Electronics,North,26,3845,0,Debit Card,Good,Pending
22-01-2025,Charlie,Monitor,Peripherals,North,27,798,27,Debit Card,Good,Returned
10-09-2025,Fiona,Speaker,Accessories,East,49,4861,16,Debit Card,Good,Pending
04-11-2025,Alice,Keyboard,Gadgets,East,35,2779,9,Credit Card,Average,Pending
09-03-2025,George,Camera,Gadgets,East,3,4322,12,Credit Card,Average,Pending
04-02-2025,Edward,Monitor,Peripherals,East,48,4485,21,Debit Card,Poor,Cancelled
18-12-2025,Charlie,Speaker,Gadgets,East,43,336,29,Credit Card,Poor,Pending
09-03-2025,Alice,Laptop,Peripherals,North,22,4118,21,Credit Card,Poor,Delivered
20-05-2025,Hannah,Speaker,Accessories,East,36,1949,14,Credit Card,Poor,Delivered
23-04-2025,George,Tablet,Electronics,West,3,1275,9,Online,Good,Delivered
07-06-2025,Ian,Smartwatch,Electronics,East,3,4069,1,Online,Excellent,Cancelled
21-11-2025,Diana,Mouse,Accessories,South,4,1099,15,Credit Card,Good,Returned
17-05-2025,George,Smartwatch,Electronics,East,46,2619,4,Credit Card,Good,Returned
09-08-2025,Charlie,Smartphone,Accessories,West,24,3219,9,Debit Card,Average,Returned
03-01-2025,Fiona,Mouse,Electronics,South,36,1928,26,Online,Poor,Cancelled
14-11-2025,Diana,Laptop,Peripherals,West,37,2956,24,Online,Excellent,Cancelled
02-05-2025,George,Smartwatch,Accessories,East,43,2911,16,Credit Card,Excellent,Pending
11-01-2025,George,Speaker,Peripherals,East,23,2510,29,Online,Excellent,Returned
21-03-2025,George,Headphones,Electronics,East,45,1267,27,Cash,Excellent,Delivered
06-05-2025,Hannah,Monitor,Peripherals,East,49,4474,26,Online,Excellent,Returned
15-12-2025,Hannah,Camera,Peripherals,East,14,2602,1,Online,Average,Pending
23-09-2025,Hannah,Camera,Electronics,East,35,3661,24,Cash,Poor,Delivered
18-07-2025,George,Headphones,Gadgets,West,8,4357,22,Online,Good,Delivered
04-01-2025,Hannah,Keyboard,Gadgets,West,21,3492,3,Online,Average,Cancelled
23-02-2025,Fiona,Keyboard,Gadgets,West,31,1858,16,Online,Good,Pending
18-03-2025,Fiona,Monitor,Gadgets,South,24,4548,15,Credit Card,Average,Pending
27-01-2025,Fiona,Laptop,Peripherals,South,4,3736,19,Debit Card,Excellent,Pending
19-06-2025,George,Headphones,Peripherals,East,6,1551,19,Credit Card,Average,Returned
05-09-2025,Charlie,Monitor,Accessories,East,21,530,19,Online,Excellent,Pending
05-07-2025,Ian,Mouse,Gadgets,South,18,1814,15,Online,Poor,Delivered
10-01-2025,Diana,Mouse,Peripherals,North,15,1466,3,Cash,Poor,Cancelled
26-06-2025,Diana,Mouse,Gadgets,East,44,1733,25,Cash,Average,Cancelled
12-01-2025,Diana,Tablet,Gadgets,North,35,4403,29,Cash,Good,Cancelled
22-04-2025,Diana,Smartphone,Electronics,East,45,1926,15,Credit Card,Good,Returned
22-04-2025,Julia,Smartwatch,Electronics,South,48,1369,29,Cash,Good,Delivered
12-02-2025,Diana,Smartphone,Accessories,North,22,1138,19,Online,Average,Cancelled
28-09-2025,Julia,Laptop,Accessories,West,30,4044,29,Cash,Poor,Pending
20-07-2025,Fiona,Smartphone,Gadgets,South,35,596,0,Online,Excellent,Pending
05-12-2025,Hannah,Smartwatch,Accessories,West,7,2657,17,Cash,Excellent,Cancelled
28-04-2025,Ian,Keyboard,Electronics,West,36,2242,25,Debit Card,Excellent,Cancelled
26-03-2025,George,Tablet,Accessories,South,41,2058,8,Online,Poor,Cancelled
14-03-2025,Fiona,Monitor,Peripherals,South,4,1251,17,Cash,Average,Delivered
06-01-2025,Edward,Smartwatch,Peripherals,West,31,4006,2,Debit Card,Excellent,Returned
11-12-2025,Diana,Smartwatch,Electronics,West,30,2496,10,Cash,Good,Returned
26-07-2025,George,Smartwatch,Gadgets,East,40,332,29,Credit Card,Excellent,Cancelled
28-11-2025,Charlie,Headphones,Gadgets,West,46,1410,22,Debit Card,Poor,Returned
26-12-2025,Hannah,Monitor,Peripherals,North,18,3210,5,Debit Card,Average,Returned
09-04-2025,Bob,Smartphone,Gadgets,East,40,2988,15,Credit Card,Excellent,Returned
26-03-2025,Ian,Tablet,Accessories,South,47,2908,14,Credit Card,Average,Delivered
04-12-2025,Hannah,Smartwatch,Accessories,West,7,4602,22,Credit Card,Good,Returned
28-07-2025,Edward,Camera,Gadgets,West,19,2751,3,Debit Card,Poor,Cancelled
28-01-2025,Julia,Speaker,Peripherals,North,34,1579,2,Cash,Excellent,Delivered
08-08-2025,George,Camera,Electronics,South,34,2248,11,Cash,Excellent,Cancelled
27-04-2025,Alice,Tablet,Gadgets,West,8,3104,23,Cash,Good,Pending
12-08-2025,Diana,Keyboard,Accessories,West,23,4685,29,Cash,Poor,Delivered
27-05-2025,Diana,Speaker,Electronics,North,43,512,5,Cash,Average,Delivered
08-04-2025,Fiona,Mouse,Accessories,South,49,1455,15,Online,Excellent,Delivered
22-01-2025,Ian,Smartwatch,Electronics,West,41,2030,10,Debit Card,Excellent,Delivered
13-04-2025,Charlie,Monitor,Accessories,West,8,2130,22,Cash,Good,Returned
09-06-2025,George,Mouse,Accessories,East,19,1088,0,Debit Card,Poor,Pending
25-02-2025,Ian,Laptop,Peripherals,East,18,338,14,Online,Poor,Delivered
12-05-2025,George,Smartphone,Electronics,South,28,4259,20,Cash,Poor,Pending
17-11-2025,Charlie,Camera,Accessories,East,27,914,23,Credit Card,Average,Pending
22-07-2025,Hannah,Smartwatch,Accessories,South,6,4231,30,Online,Good,Cancelled
11-09-2025,Alice,Keyboard,Accessories,East,39,3002,6,Credit Card,Average,Returned
04-01-2025,Diana,Camera,Electronics,North,43,2388,30,Cash,Average,Pending
06-05-2025,George,Tablet,Accessories,North,39,4493,24,Credit Card,Average,Returned
09-10-2025,Julia,Speaker,Peripherals,West,22,295,13,Debit Card,Poor,Pending
04-01-2025,Charlie,Smartphone,Peripherals,West,17,2768,2,Credit Card,Poor,Returned
14-10-2025,Edward,Speaker,Peripherals,North,8,861,27,Credit Card,Poor,Pending
24-06-2025,Julia,Keyboard,Gadgets,West,30,2173,26,Cash,Excellent,Delivered
14-06-2025,Charlie,Mouse,Accessories,East,6,2030,7,Online,Good,Cancelled
17-10-2025,George,Laptop,Peripherals,South,3,4328,5,Cash,Good,Delivered
13-02-2025,Julia,Smartwatch,Peripherals,West,1,4375,1,Debit Card,Average,Cancelled
07-10-2025,Diana,Monitor,Peripherals,West,27,1540,9,Online,Poor,Cancelled
02-05-2025,Charlie,Smartphone,Accessories,West,24,3980,1,Cash,Good,Cancelled
14-12-2025,George,Tablet,Peripherals,East,27,1946,25,Credit Card,Good,Pending
17-01-2025,Fiona,Keyboard,Gadgets,South,10,4098,27,Cash,Excellent,Returned
22-09-2025,Hannah,Speaker,Accessories,East,26,2283,26,Cash,Good,Returned
24-12-2025,Diana,Smartwatch,Peripherals,West,26,4836,12,Online,Good,Returned
22-12-2025,Charlie,Headphones,Accessories,North,28,477,26,Cash,Average,Cancelled
12-04-2025,Hannah,Laptop,Peripherals,West,35,4902,7,Cash,Excellent,Cancelled
03-07-2025,Fiona,Laptop,Peripherals,East,36,4795,24,Cash,Poor,Returned
11-11-2025,Julia,Mouse,Electronics,North,24,2223,5,Debit Card,Poor,Delivered
11-10-2025,Julia,Camera,Accessories,North,19,2394,26,Credit Card,Excellent,Pending
28-11-2025,Ian,Tablet,Accessories,West,21,4174,5,Debit Card,Good,Returned
24-02-2025,Alice,Keyboard,Electronics,South,43,846,6,Credit Card,Good,Delivered
17-05-2025,Bob,Camera,Peripherals,West,22,4475,12,Debit Card,Poor,Cancelled
22-05-2025,Bob,Camera,Peripherals,East,16,640,5,Debit Card,Excellent,Delivered
11-07-2025,Bob,Monitor,Accessories,North,50,1753,20,Online,Poor,Cancelled
23-07-2025,Alice,Smartwatch,Gadgets,West,41,1281,16,Cash,Average,Delivered
18-05-2025,Alice,Smartphone,Peripherals,South,44,2526,3,Credit Card,Good,Cancelled
07-03-2025,Alice,Headphones,Electronics,East,26,412,20,Debit Card,Poor,Cancelled
22-07-2025,Fiona,Speaker,Electronics,South,15,3429,26,Cash,Poor,Delivered
22-07-2025,Bob,Smartwatch,Peripherals,East,32,1327,22,Online,Excellent,Pending
06-12-2025,Fiona,Tablet,Accessories,North,32,687,23,Debit Card,Good,Returned
19-10-2025,Fiona,Camera,Accessories,North,28,2434,30,Debit Card,Excellent,Pending
